0,19
1,19
2,19
3,19
4,19
5,19
6,19
7,19
8,14
9,19
10,19
11,19
12,19
13,13
14,19
15,19
16,19
17,19
18,19
19,19
20,19
21,19
22,19
23,19
24,19
25,19
26,31
27,33
28,27
29,16
30,27
31,27
32,19
33,8
34,18
35,22
36,25
37,36
38,19
39,8
40,11
41,12
42,34
43,21
44,8
45,21
46,8
47,30
48,23
49,13
50,23
51,23
52,23
53,23
54,23
55,23
56,23
57,23
58,8
59,8
60,23
61,21
62,23
63,25
64,29
65,29
66,25
67,25
68,25
69,25
70,25
71,25
72,27
73,13
74,29
75,28
76,27
77,36
78,27
79,25
80,27
81,25
82,27
83,25
84,26
85,29
86,29
87,36
88,27
89,27
90,27
91,11
92,30
93,12
94,19
95,31
96,19
97,25
98,27
99,25
100,27
101,25
102,22
103,27
104,29
105,13
106,11
107,27
108,13
109,37
110,29
111,25
112,27
113,27
114,25
115,25
116,22
117,29
118,29
119,32
120,27
121,29
122,27
123,13
124,8
125,13
126,17
127,19
128,31
129,19
130,19
131,22
132,19
133,30
134,21
135,21
136,19
137,55
138,25
139,19
140,27
141,19
142,19
143,19
144,19
145,8
146,8
147,19
148,19
149,14
150,27
151,36
152,19
153,19
154,25
155,19
156,29
157,19
158,19
159,27
160,19
161,8
162,19
163,27
164,19
165,27
166,19
167,19
168,19
169,29
170,19
171,19
172,19
173,19
174,29
175,19
176,19
177,21
178,19
179,19
180,19
181,29
182,19
183,19
184,19
185,19
186,19
187,19
188,19
189,19
190,19
191,25
192,29
193,29
194,29
195,29
196,29
197,29
198,32
199,25
200,25
201,25
202,25
203,25
204,14
205,14
206,15
207,16
208,25
209,27
210,25
211,25
212,25
213,25
214,25
215,19
216,30
217,29
218,29
219,29
220,29
221,27
222,27
223,25
224,25
225,25
226,25
227,25
228,25
229,25
230,30
231,25
232,25
233,25
234,25
235,25
236,13
237,13
238,15
239,15
240,27
241,29
242,25
243,25
244,25
245,25
246,25
247,19
248,36
249,29
250,29
251,29
252,29
253,29
254,27
255,29
